question,answer
Can a program include more than one concentration?,"Yes, programs may have multiple concentrations within the major."
Can I choose specific (prescribed) courses as part of the Carolina Core for my program?,Yes. Certain programs may require courses that are approved as Carolina Core foundational courses. It makes sense that those programs would “prescribe” those courses as required for the particular Carolina Core component that they fulfill.
Do all changes to a cross-listed course affect any cross-listed course(s) as well?,Common Reasons Proposals are Returned from the Curricula and Courses Committee: Getting approval for distributed learning for one cross-listed course does not automatically approve cross listed courses for distributed learning delivery. Separate submissions are required for each course. (https://sc.edu/about/offices_and_divisions/provost/planning/academicprograms/docs/f23232.pdf)
Do prerequisites have to be enforced in Banner?,"Prerequisites do not have to be enforced in Banner. However, it is recommended that they be enforced, as they are published in the Bulletin. It creates inconsistency in University sources to list prerequisites on the Bulletin, but then not enforce them in Banner."
How do Carolina Core Overlay courses work?,"Carolina Core overlay courses meet two Carolina Core learning outcomes in one course. Students may apply a maximum of two overlay courses to their Carolina Core hours. All students must have a minimum of 31 hours of Carolina Core. For a list of overlay-eligible courses, visit the Carolina Core website and sort by the Overlay column in the table. Learn more with the Carolina Core Overlay Training Module (https://sc.edu/about/offices_and_divisions/provost/academicpriorities/undergradstudies/carolinacore/courses/foundational-courses.php, https://www.youtube.com/watch?v=Bed1TZJfbhs&feature=youtu.be&t=2m55s)"
How do I change my program learning outcomes?,Learning Outcomes are placed in the Academic Assessment Plan Composer . Please contact La Trice Ratcliff-Small in OIRAA with any questions regarding learning outcomes. (http://assessmentplan.ipr.sc.edu/)
How do I know if I need a curriculum change proposal to make a change in the Bulletin?,"A curriculum change proposal is required when substantive changes are needed. Changes that are non-substantive include typos, grammar errors, formatting changes, and other changes that do not affect the meaning or interpretation of curricular information."
How do I propose a course action?,"Course actions include proposing new courses, modifying or changing courses, terminating courses, and adding distributed learning to a course. Visit the Academic Programs website and scroll to the section for the action you’d like to take. (https://sc.edu/about/offices_and_divisions/provost/planning/academicprograms/courses/index.php)"
How do I propose a program action?,"Program actions include proposing new, modifications to, or terminating degree programs, minors, concentrations, and academic certificates. Visit the Academic Programs website and scroll to the section for the action you’d like to take. (https://sc.edu/about/offices_and_divisions/provost/planning/academicprograms/program-actions/index.php)"
How long will it take for my proposal to receive all levels of approval?,"It depends on the type of proposal submitted and if there are any external approvals required. Program actions may take between 6 months and 2 years for full review (ACAF 2.00). Review the various levels of approval needed for various types of curricular actions. See the APPS Approval Flow Chart for program actions. Also see t he Academic Programs website for CHE Timelines and Bulletin Freeze Charts. (/about/offices_and_divisions/advising/curriculum_services/approval_process/index.php, https://sc.edu/about/offices_and_divisions/provost/planning/academicprograms/docs/apps-approval-flowchart.pdf, https://sc.edu/about/offices_and_divisions/provost/planning/academicprograms/program-actions/timelines.php)"
"If my program has multiple concentrations, will a change to the program affect all of the concentrations?","Concentrations are specific areas of study within the major. Anything outside of a concentration is part of the base program. If the change is to the Carolina Core, College Requirements, Program Requirements, or Major requirements (outside of the concentration), then the change will affect all concentrations. If the change is within a specific concentration itself, then it will not affect other concentrations in the program."
What are critical courses on the major maps?,"Courses may be marked as critical if there is a deadline for completion or if they may cause a delay in graduation because they serve as a prerequisite in a series of courses, have prescribed sequencing, or have limited offerings. There is a description of why courses are critical for a particular program in the first program note on the back of each major map. Critical courses are explained with examples in the Major Maps Training Module . (https://www.youtube.com/watch?v=8iJrJTDzKCQ&feature=youtu.be)"
What are major maps?,"A major map is a layout of required courses in a given program of study, including critical courses and suggested course sequence to ensure a clear path to graduation. Major maps include universal terminology, a standard program of study, and a common 8-semester template. Access the Major Map Repository Learn more about major maps with the Major Map Training Module (/about/offices_and_divisions/advising/advisor_toolbox/majormaps.php, /about/offices_and_divisions/advising/advisor_training/training-index.php)"
What are the requirements for a cross-listed course?,"“A cross-listed course is a course that is offered under more than one course subject and is not appropriate for courses with the same course subject. Once a cross-listed course is approved, the courses are viewed as equivalent and identical and should ideally be able to be taken interchangeably within degree programs which require the course.” (ACAF 2.03) Cross-listed courses must have the exact same criteria as listed below: Course Number (if possible; at minimum the course numbers for the cross-listed courses must have be at the same level, i.e., lower division, upper division, mixed, graduate) Title Course Description Pre-requisites and Co-requisites Catalog Restrictions (e.g., by student level or program) Carolina Core or GLD designations (if applicable) Grade Mode (i.e., letter grade or pass/fail) Schedule Type (e.g., lecture, lab, seminar) a. Cross-listed courses may have different course delivery and location."
What are the requirements for a syllabus?,"All undergraduate and graduate courses must have a course syllabus that includes the following: Course title (including course subject designator and number) Instructor name and relevant contact information Final Exam day and time, as appropriate (from Office of the Registrar’s website) Class meeting days, times, and location, or equivalent Undergraduate or Graduate Bulletin course description Course learning outcomes Required text(s) and/or suggested readings, as appropriate Course requirements and grading Assignments, projects, quizzes, and/or exams with brief descriptions of expectations with points/weights assigned to each activity. Courses at the Mixed/Advanced Undergraduate/Entry Level Graduate Courses (500/600--level) must include separate grading schemes for undergraduate and graduate credit and one or more assignments for graduate credit that are clearly differentiated from undergraduate assignments Grading scheme and weights including what a student must do to receive a grade of A through F for a letter grade-based course, or an S or U, or a T or U, as appropriate for a non-letter grade course Topical outline of content to be covered, including a time allocation framework (e.g., week 1, week 2, etc. to include 14 weeks for a standard academic year course 6 session). The time allocation framework will be adjusted for other term lengths accordingly, consistent with course credit hours as defined in section III D. For Distributed Learning Courses, the syllabus is expected to articulate estimated time commitments of instructional time and course activity time consistent with course credit hours as defined above. The Committee on Instructional Development shall maintain and administer guidelines for such courses. Statement regarding academic integrity, honorable behavior and/or the Carolinian Creed (or excerpt thereof). Additional information may be found through the Office of Academic Integrity . Sample syllabi are also available through the Center for Teaching Excellence. Course attendance policy consistent with the expectations stated in the respective Academic Bulletin. Statement regarding disability services. Additional information may be found through the Student Disability Services Center and in policy STAF 6.02 Support Services and Accommodations for Students with Diagnosed Disabilities. (https://sc.edu/about/offices_and_divisions/student_conduct_and_academic_integrity/, /about/offices_and_divisions/cte/teaching_resources/syllabus_templates/, /about/offices_and_divisions/student_disability_resource_center/for_faculty_and_staff/classroom_accessibility/index.php)"
What is a cognate?,"""A cognate is series of courses that display a distinct curricular pattern in one or more disciplines different from the major. Undergraduate cognates require a minimum of 12 credit hours in advanced level courses related to, but outside the major. Graduate cognates range between 9 and 18 credit hours. Cognates are variable according to what is appropriate as determined by the student and the major advisor. Thus, cognates are not subject to faculty governance review, and do not appear on either the transcripts or the diplomas."" (ACAF 2.00)"
What is a concentration?,"""A Concentration is a series of courses that display a distinct curricular pattern within the major. They are often called options, emphases, tracks, areas, fields, or specializations. These are different from minors or cognates which are typically outside of the major. Concentrations are subject to faculty governance review, and appear on the transcripts but not the diplomas."" (ACAF 2.00)"
What is an integrative course?,"An Integrative course is a course in the major, in which selected Carolina Core learning outcomes are integrated into the chosen major. Each undergraduate program must have an approved integrative course and require it as part of the major to ensure that all undergraduate students have had an integrative course in their major. It cannot just be an option in the major. Learn more on integrative courses . (https://sc.edu/about/offices_and_divisions/provost/academicpriorities/undergradstudies/carolinacore/courses/integrative-courses.php)"
What is Banner/Self-Service Carolina?,"Self-Service Carolina allows students, faculty, and advisors to access student information via the web. Students may use Self Service Carolina to: View and update Financial Aid Status Access Degreeworks Check Registration Status and eligibility Schedule classes using College Scheduler Check grades and verify records Pay tuition and fees Faculty may use Self Service Carolina to: Review class rosters Assign grades Obtain student contact information Academic Advisors may use Self Service Carolina to: Access DegreeWorks Check a student’s Registration Status and eligibility Obtain student contact information Review student Records Learn more with the Self Service Carolina Overview training module. For helpful tutorials and how to videos, visit the Self-Service Carolina Upgrade page. (https://www.youtube.com/watch?v=iqOe9tzGp1g&feature=youtu.be, /about/offices_and_divisions/advising/advisor_toolbox/advising_technology/banner9/index.php)"
What is CourseLeaf?,CourseLeaf is the new curriculum management software that includes curriculum inventory management (curriculum change process) and catalog management (bulletin).
What is DegreeWorks?,"DegreeWorks is the University’s degree audit system. DegreeWorks aids both students and advisors in monitoring students’ progress toward degree and assist students in choosing the most appropriate courses to fulfill degree requirements. Integrated with students’ academic records in Banner, DegreeWorks matches student record data (courses, hours grades) with degree requirements categorically to identify which courses meet degree requirements and which courses need to be completed. Degree works also allows users to run “what if” and “look ahead” scenarios to both show how project courses will apply to a student’s major and apply a student’s course history to another program of study. ( Office of the University Registrar ) Learn more with the DegreeWorks Overview training module. (/about/offices_and_divisions/registrar/toolbox/sysaccess/index.php, https://www.youtube.com/watch?v=syUFK9gy56g&feature=youtu.be)"
